"","eventid","eventname","subtype","description","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","eventlength","popularity","latitude","longitude","address"
"La Mouette Restaurant",206,"La Mouette Restaurant","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1142,18.3833786,-33.9209616,"78 Regent Road, Cape Town Central, Western Cape, South Africa"
"Kirstenbosch National Botanical Garden",208,"Kirstenbosch National Botanical Garden","outdoor","Kirstenbosch is a famous botanical garden nestled at the eastern foot of Table Mountain in Cape Town. The garden is one of nine National Botanical Gardens covering five of South Africa's six different biomes.",NA,NA,NA,NA,NA,NA,NA,NA,7075,18.439719,-33.982901,"Rhodes Drive, Newlands, Western Cape, South Africa"
"The Westin Cape Town",210,"The Westin Cape Town","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1854,18.4252857,-33.9169151,"Lower Long Street, Cape Town Central, Western Cape, South Africa"
"Green Point Park and Biodiversity Garden",212,"Green Point Park and Biodiversity Garden","outdoor","Green Point Common, is a park in Green Point, Cape Town, in South Africa, where numerous playing fields and a golf course are situated. The Green Point Urban Park &amp; Biodiversity Garden is just behind Mouille Point and has an entrance on Bay Road.",NA,NA,NA,NA,NA,NA,NA,NA,458,18.4032018,-33.9012539,"Bay Road, Cape Town Central, Western Cape, South Africa"
"sirocco",214,"sirocco","outdoor","Sirocco is a restaurant, on the 63rd floor of the State Tower in Bangkok, Thailand, the second tallest building in Thailand. The 150-cover restaurant opened its doors in the winter of 2003.",NA,NA,NA,NA,NA,NA,NA,NA,31,21.8568586,-33.2277918,"Kalk Bay Railway Station, Cape Town Central, Western Cape, South Africa"
"Eat at Altydgedacht",216,"Eat at Altydgedacht","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,67,18.6331326,-33.8727092,"Tygervalley Rd, Durbanville, Western Cape, South Africa"
"Jakes in the Village1",218,"Jakes in the Village","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,137,18.4446498,-34.0791853,"Steenberg Road, Tokai, Western Cape, South Africa"
"Blue Water Cafe",220,"Blue Water Cafe","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,109,18.3547369,-34.1415706,"Imhoff Farm, Kommetjie Road, Kommetjie, Western Cape, South Africa"
"Aquila Private Game Reserve",222,"Aquila Private Game Reserve","outdoor","The Aquila Private Game Reserve is a game reserve in Western Cape Province, South Africa. Aquila has animals such as the springbok, Lion, Cape Porcupine, Chacma baboon, leopard, and African elephant.",NA,NA,NA,NA,NA,NA,NA,NA,230,18.4187029,-33.9242692,"P.O. Box 1861 , Cape Town Central, Western Cape, South Africa"
"Chalk and Cork",224,"Chalk and Cork","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,118,18.41176,-33.9291,"51 Kloof Street, Cape Town Central, Western Cape, South Africa"
"Slow Market Willowbridge",226,"Slow Market Willowbridge","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,12,18.6294384,-33.8942695,"Willowbridge Shopping Centre, Bellville, Western Cape, South Africa"
"Lyra's Rondebosch",228,"Lyra's Rondebosch","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,10,-122.2758008,37.5202145,"Belmont & Main Roads Rondebosch, Cape Town Central, Western Cape, South Africa"
"Cafe Paradiso",230,"Cafe Paradiso","outdoor","Café Paradiso is an award-winning Irish restaurant located in Cork, County Cork. It specialises in vegetarian cuisine and the proprietor of this restaurant is the celebrity chef and television personality Denis Cotter.",NA,NA,NA,NA,NA,NA,NA,NA,601,18.40715,-33.9343457,"110 Kloof St, Cape Town Central, Western Cape, South Africa"
"Bossa Social Cafe",232,"Bossa Social Cafe","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,164,18.8468252,-34.0773842,"178 Main Road, Somerset West, Western Cape, South Africa"
"Cafe Riteve1",234,"Cafe Riteve","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,4,18.4168398,-33.9303541,"91 St Johns Street, Cape Town Central, Western Cape, South Africa"
"Awesome Walks - Day Tours",236,"Awesome Walks - Day Tours","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,8,18.4187029,-33.9242692,"Cape Town Central, Western Cape, South Africa"
"Black Marlin",238,"Black Marlin","outdoor","The black marlin is a species of marlin found in tropical and subtropical areas of the Indian and Pacific Oceans. With a maximum published length of 4.65 m and weight of 750 kg., it is one of the largest marlins and also one of the largest bony fish.",NA,NA,NA,NA,NA,NA,NA,NA,337,18.44823,-34.196048,"Main Road, Millers Point, Simon's Town, Western Cape, South Africa"
"Ons Huisie",240,"Ons Huisie","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,442,18.4597011,-33.7989599,"Generaal Jansens Road, Bloubergstrand, Western Cape, South Africa"
"POD Camps Bay",242,"POD Camps Bay","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,553,18.3797877,-33.9492147,"3 Argyle Road, Camps Bay, Western Cape, South Africa"
"Sky Bar1",244,"Sky Bar","outdoor","Sky Bar is an American candy bar, produced since 1938 by Necco. Each Sky Bar has four sections, each with a different filling: caramel, vanilla, peanut and fudge, all covered in milk chocolate.",NA,NA,NA,NA,NA,NA,NA,NA,21,18.4169899,-33.91556,"49 Napier Street, Cape Town Central, Western Cape, South Africa"
"Harbour View Cafe and Restaurant",246,"Harbour View Cafe and Restaurant","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,15,18.9582341,-33.6958379,"Main Road, Simon's Town, Cape Town Central, Western Cape, South Africa"
"Cape Select Tours",248,"Cape Select Tours","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,10,18.531718,-33.960137,"41 Loerie Road, Cape Town Central, Western Cape, South Africa"
"Toad in TE Road",250,"Toad in TE Road","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,13,-78.487421,42.9983761,"Cnr of Main Road & Boyes Drive, Lakeside, Western Cape, South Africa"
"Opa Greek Taverna",252,"Opa Greek Taverna","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,104,18.8474499,-34.0784718,"171 Main Road, Somerset West, Western Cape, South Africa"
"Helderberg Farm",254,"Helderberg Farm","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,18,18.8432656,-34.0756899,"Route 44, Somerset West, Western Cape, South Africa"
"Thorfynns Restaurant",256,"Thorfynns Restaurant","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,50,18.4257958,-34.1361859,"Noordehoek, Cape Town Central, Western Cape, South Africa"
"Victoria & Alfred Waterfront1",258,"Victoria & Alfred Waterfront","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,4786,-82.5978593,28.5012482,"Breakwater Boulevard, V&A Waterfront, Cape Town Central, Western Cape, South Africa"
"Grand Africa Cafe & Beach",260,"Grand Africa Cafe & Beach","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,520,18.4162185,-33.9020196,"Haul Road, Cape Town Central, Western Cape, South Africa"
"Winchester Mansions1",262,"Winchester Mansions","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,46,18.3883721,-33.9116791,"211 Beach Road Seapoint, Cape Town Central, Western Cape, South Africa"
"Foresters Arms Pub",264,"Foresters Arms Pub","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,122,18.4541499,-33.971556,"52 Newlands Avenue, Newlands, Western Cape, South Africa"
"Eagles Nest Wine",266,"Eagles Nest Wine","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1142,18.4293251,-34.0232087,"Constantia Main Road, Constantia, Western Cape, South Africa"
"Steenberg Vineyards",268,"Steenberg Vineyards","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,7075,18.4446498,-34.0791853,"Steenberg Road, Tokai, Western Cape, South Africa"
"Noordhoek Farm Village",270,"Noordhoek Farm Village","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1854,0.9740906,42.9357249,"Corner of Village Lane & Noordhoek Main Road, Noordhoek, Western Cape, South Africa"
"Tokai Forest",272,"Tokai Forest","outdoor","Cape Flats Sand Fynbos, previously known as Sand Plain Fynbos, is a critically endangered vegetation type that occurs only within the city of Cape Town. Less than 1% of this unique lowland Fynbos vegetation is conserved.",NA,NA,NA,NA,NA,NA,NA,NA,458,18.4448251,-34.0636905,"Tokai Rd, Tokai, Western Cape, South Africa"
"Kloof Street House",274,"Kloof Street House","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,31,18.41209,-33.9281999,"30 Kloof Street, Cape Town Central, Western Cape, South Africa"
"The Conservatory",276,"The Conservatory","outdoor","In the Conservatory is an 1879 oil painting by Édouard Manet in the Alte Nationalgalerie, Berlin. The setting is a conservatory at 70 Rue d'Amsterdam in Paris, then owned by painter Otto Rosen and which Manet used as a studio for nine months in 1878 and 1879.",NA,NA,NA,NA,NA,NA,NA,NA,67,18.4347749,-34.002123,"93 Brommersvlei Road, Constantia, Western Cape, South Africa"
"Tasca Portugese Flavour",278,"Tasca Portugese Flavour","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,137,-0.0817848,53.5713822,"Victoria Wharf, V&A Waterfront, Cape Town Central, Western Cape, South Africa"
"Platteklip Gorge",280,"Platteklip Gorge","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,109,18.4012537,-33.9604102,"Table Mountain National Park, Western Cape, South Africa"
"Societi Bistro",282,"Societi Bistro","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,230,18.41297,-33.92901,"50 Orange Street, Cape Town Central, Western Cape, South Africa"
"Harbourview Restaurant",284,"Harbourview Restaurant","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,118,18.4356653,-34.1937654,"23 Quayside Centre, Simon's Town, Western Cape, South Africa"
"Lourensford Wine Estate",286,"Lourensford Wine Estate","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,12,18.8672486,-34.078518,"Lourensford Road, Somerset West, Western Cape, South Africa"
"2412 Villa Italia",288,"2412 Villa Italia","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,10,18.4187029,-33.9242692,"Cape Town Central, Western Cape, South Africa"
"Massimo's",290,"Massimo's","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,601,18.3584905,-34.0388978,"Main Rd, Hout Bay, Western Cape, South Africa"
"Ritzis",292,"Ritzis","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,164,18.4543113,-33.719294,"Shop 5, 26 Beach road, Melkbosstrand, Cape Town, Melkbosstrand, Western Cape, South Africa"
"Den Anker",294,"Den Anker","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,4,18.4225974,-33.9070041,"Water Front, Cape Town Central, Western Cape, South Africa"
"Bocca",296,"Bocca","outdoor","La Bocca della Verità is an image, carved from Pavonazzo marble, of a man-like face, located in the portico of the church of Santa Maria in Cosmedin in Rome, Italy.",NA,NA,NA,NA,NA,NA,NA,NA,8,4.5106643,51.8900161,"Corner Bree & Wale Street, Cape Town Central, Western Cape, South Africa"
"Quay 4",298,"Quay 4","outdoor","Boat Quay is a historical quay in Singapore which is situated upstream from the mouth of the Singapore River on its southern bank.
It was the busiest part of the old Port of Singapore, handling three quarters of all shipping business during the 1860s.",NA,NA,NA,NA,NA,NA,NA,NA,337,-97.0035982,28.8052674,"Victoria & Alfred Waterfront, Cape Town Central, Western Cape, South Africa"
"Kirstenbosch Tea Room Restaurant",300,"Kirstenbosch Tea Room Restaurant","outdoor","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,442,21.8568586,-33.2277918,"Kirstenbosch Botanical Garden, Cape Town Central, Western Cape, South Africa"
"1",302,"Canal Walk Shopping Centre","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,352,18.5172432,-33.8931331,"Century City Drive, Cape Town Central, Western Cape, South Africa"
"2",304,"Victoria & Alfred Waterfront","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,4786,-82.5978593,28.5012482,"Breakwater Boulevard, V&A Waterfront, Cape Town Central, Western Cape, South Africa"
"3",306,"Watershed","shopping","Watershed opened in June 1982 as the United Kingdom's first dedicated media centre. Based in former warehouses on the harbourside at Bristol, it hosts three cinemas, a café/bar, events/conferencing spaces, The Pervasive Media Studio, and office spaces for administrative and creative staff.",NA,NA,NA,NA,NA,NA,NA,NA,70,18.4202355,-33.9024423,"Breakwater Blvd, Cape Town Central, Western Cape, South Africa"
"4",308,"Cavendish Square","shopping","Cavendish Square is a public square in the West End of London, very close to Oxford Circus, where the two main shopping thoroughfares of Oxford Street and Regent Street meet.",NA,NA,NA,NA,NA,NA,NA,NA,28,18.4638251,-33.9795513,"Dreyer St, Claremont, Western Cape, South Africa"
"5",310,"Greenmarket Square","shopping","Greenmarket Square is a historical square in the centre of old Cape Town, South Africa.
The square was built in 1696, when a burgher watch house was erected. In 1761, the watch house was demolished and the Old Town House built in the site. This building functioned as the city hall for a period of time.",NA,NA,NA,NA,NA,NA,NA,NA,553,18.4187029,-33.9242692,"Cape Town Central, Western Cape, South Africa"
"6",312,"Cape Quarter Mall","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,45,18.4201565,-33.9187135,"72 Waterkant Street, Cape Town Central, Western Cape, South Africa"
"7",314,"Access Park - Kenilworth","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,26,21.8568586,-33.2277918,"Doncaster Road, Cape Town Central, Western Cape, South Africa"
"8",316,"Somerset Mall","shopping","Somerset Mall is a 67,000 m2 shopping mall situated alongside the N2 freeway near the towns of Somerset West and Strand, in the Western Cape province of South Africa. The mall comprises 200 stores and 4,225 parking spaces.",NA,NA,NA,NA,NA,NA,NA,NA,29,-94.7542245,32.5153735,"Centenary Drive & R44, Somerset West, Western Cape, South Africa"
"9",318,"Tyger Valley Centre","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,20,18.6341658,-33.8891638,"Durban Road, Bellville, Western Cape, South Africa"
"10",320,"Victoria & Alfred Hotel","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1260,21.8568586,-33.2277918,"On the Waterfront Pierhead, Cape Town Central, Western Cape, South Africa"
"11",322,"The Table Bay Hotel","shopping","The Chedi Muscat is a luxury 5-star hotel and restaurant in Al Azaiba in northwest Muscat, Oman, set on a private beach. The hotel has 158 rooms and fuses together traditional Omani architecture with Zen, Arabic, Japanese and European influences.",NA,NA,NA,NA,NA,NA,NA,NA,1631,21.8568586,-33.2277918,"Table Bay Hotel, Cape Town Central, Western Cape, South Africa"
"12",324,"Kenilworth Centre Shopping Centre","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,7,18.4875265,-33.9883136,"Doncaster Rd, Claremont, Western Cape, South Africa"
"13",326,"Old Biscuit Mill","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1109,18.4569674,-33.9275262,"373 - 375 Albert Road, Cape Town Central, Western Cape, South Africa"
"14",328,"Long Street","shopping","Long Street is a major street located in the City Bowl section of Cape Town, South Africa. It is famous as a bohemian hang out and the street is lined with many book stores, various ethnic restaurants and bars.",NA,NA,NA,NA,NA,NA,NA,NA,554,18.4187029,-33.9242692,"Cape Town Central, Western Cape, South Africa"
"15",330,"African Trading Port","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,60,-122.9002982,46.9944511,"V & A Waterfront (near swinging bridge), Cape Town Central, Western Cape, South Africa"
"16",332,"Island Club Hotel & Apartments","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,99,18.5149529,-33.892772,"Century Boulevard, Century City, Western Cape, South Africa"
"17",334,"NV-80","shopping","Interstate 80 traverses the northern portion of the U.S. state of Nevada. The freeway serves the Reno–Sparks metropolitan area and also goes through the towns of Fernley, Lovelock, Winnemucca, Battle Mountain, Elko, Wells and West Wendover on its way through the state.",NA,NA,NA,NA,NA,NA,NA,NA,535,18.3831929,-33.9208901,"76 Regent Road, Cape Town Central, Western Cape, South Africa"
"18",336,"Gardens Centre Holiday Apartments","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,50,18.418623,-33.933923,"Mill Street, Gardens, Cape Town Central, Western Cape, South Africa"
"19",338,"Woolworths Cafe","shopping","Woolworths Holdings Limited is a South African chain of retail stores and one of the largest in the country, modeled on Marks &amp; Spencer of the United Kingdom.",NA,NA,NA,NA,NA,NA,NA,NA,84,-122.9002982,46.9944511,"V & A Waterfront, Cape Town Central, Western Cape, South Africa"
"20",340,"St Georges Mall","shopping","St George's Shopping Centre, formerly The Mall Preston and The Mall St George, is a shopping centre in the city of Preston, Lancashire, England.",NA,NA,NA,NA,NA,NA,NA,NA,49,18.421936,-33.921776,"St Georges, Cape Town Central, Western Cape, South Africa"
"21",342,"Baraka Gifts and Decor","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,145,21.8568586,-33.2277918,"Shop 13A, Dixon Street, Cape Quarter, Cape Town Central, Western Cape, South Africa"
"22",344,"Willoughby & Co","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,2113,21.8568586,-33.2277918,"Shop 6132 Victoria Warf, Cape Town Central, Western Cape, South Africa"
"23",346,"221 Waterfront","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,60,18.380729,-33.923386,"Victoria Wharf, Cape Town Central, Western Cape, South Africa"
"24",348,"Tasha's","shopping","Tasha's Game is a free Flash puzzle platform game, written and designed by Klint Honeychurch, with art by Tasha Harris and music by Bert Chang and Razmig Mavlian. The game was published by Double Fine Productions, and is playable on their website.",NA,NA,NA,NA,NA,NA,NA,NA,55,18.5149529,-33.892772,"Century Boulevard, Milnerton, Western Cape, South Africa"
"25",350,"V&A Market on the Wharf","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,235,-78.5661332,34.16355,"Dock Road, V&A Waterfront, Cape Town Central, Western Cape, South Africa"
"26",352,"Colosseum Luxury Hotel","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,241,18.5036287,-33.8925797,"Corner of Century Way and Century Boulevard, Century City, Western Cape, South Africa"
"27",354,"Bay Harbour Market Hout Bay","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,188,18.347127,-34.05495,"31 Harbour Road, Hout Bay, Western Cape, South Africa"
"28",356,"Blue Route Mall","shopping","Retreat railway station is a Metrorail station in Retreat, a suburb of Cape Town. It is a stop on the Southern Line, and the terminus of the Cape Flats Line.",NA,NA,NA,NA,NA,NA,NA,NA,7,18.4419915,-34.0632746,"16 Tokai Road, Tokai, Western Cape, South Africa"
"29",358,"Merchants on Long","shopping","Richard ap Meryk, Anglicised to Richard Amerike was a wealthy English merchant, royal customs officer and sheriff of Bristol. In the late twentieth century a popular history asserted that he was the principal owner of the Matthew, the ship sailed by John Cabot during his voyage of exploration to North America in 1497.",NA,NA,NA,NA,NA,NA,NA,NA,17,18.42071,-33.92072,"34 Long Street, Cape Town Central, Western Cape, South Africa"
"30",360,"Giovanni's","shopping","Giovanni's Island is a 2014 Japanese anime drama film directed by Mizuho Nishikubo and produced by Production I.G and co-produced and presented by the Japan Association of Music Enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,819,-117.7085028,35.3531741,"Corner R44 & Main Road, Somerset West, Western Cape, South Africa"
"31",362,"The Residences at Crystal Towers","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,352,18.5149529,-33.892772,"Century Boulevard, Century City, Western Cape, South Africa"
"32",364,"Food Lovers Market - Tokai","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,4786,21.8568586,-33.2277918,"Shop 5 Tokai on Main, Cape Town Central, Western Cape, South Africa"
"33",366,"Wellness Cafe","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,70,18.41071,-33.92947,"50 Kloof Street, Cape Town Central, Western Cape, South Africa"
"34",368,"Slow Market Willowbridge","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,28,18.6294384,-33.8942695,"Willowbridge Shopping Centre, Bellville, Western Cape, South Africa"
"35",370,"Ocean Basket","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,553,18.5136667,-33.8880429,"Lower Level, Canal Walk Mall, Century City, Western Cape, South Africa"
"36",372,"Mama Roma","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,45,18.4647392,-33.9715447,"5 Dean Street Arcade, Newlands, Western Cape, South Africa"
"37",374,"Noordhoek Farm Village","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,26,0.9740906,42.9357249,"Corner of Village Lane & Noordhoek Main Road, Noordhoek, Western Cape, South Africa"
"38",376,"Parow Centre","shopping","Parow is a northern suburb of Cape Town, Western Cape, South Africa founded by Johann Heinrich Ferdinand Parow who arrived to the locality in 1865.",NA,NA,NA,NA,NA,NA,NA,NA,29,18.601128,-33.925077,"De La Rey St & Voortrekker rd, Parow, Western Cape, South Africa"
"39",378,"Intaka Island","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,20,18.4187029,-33.9242692,"Cape Town Central, Western Cape, South Africa"
"40",380,"Myatt Cafe","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1260,-122.9002982,46.9944511,"V&A Waterfront, Cape Town Central, Western Cape, South Africa"
"41",382,"Gabriella's","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1631,18.3584905,-34.0388978,"Main Road, Hout Bay, Western Cape, South Africa"
"42",384,"Ocean Basket","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,7,18.8432656,-34.0756899,"shop 237 Somerset Mall, Somerset West, Western Cape, South Africa"
"43",386,"Park Inn by Radisson Cape Town Newlands","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1109,18.465564,-33.976552,"10 Hemlock Street, Newlands, Western Cape, South Africa"
"44",388,"Colcacchio","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,554,18.4721169,-33.9860035,"Mio mo colcacchio, Claremont, Western Cape, South Africa"
"45",390,"El Greeyo Roastery & Coffee Shop","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,60,21.8568586,-33.2277918,"Shop 9 Brickfield Park, Brickfield Rd, Salt River, Cape Town Central, Western Cape, South Africa"
"46",392,"bargain corner","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,99,18.46859,-34.00691,"6 Piers Road, Wynberg, Western Cape, South Africa"
"47",394,"Red Shed Craft Warehouse","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,535,18.422866,-33.9144712,"Dock Rd, Cape Town Central, Western Cape, South Africa"
"48",396,"Earth Fair Food Market","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,50,21.8568586,-33.2277918,"South Palms, 333 Main Rd Retreat, St Georges Mall, Cape Town Central, Western Cape, South Africa"
"49",398,"Mugg and Bean","shopping","Mugg &amp; Bean is a full-service, &amp; On-The-Move restaurant, coffee-themed franchise restaurant chain originating from South Africa. The restaurant chain was founded in 1996 by Ben Filmalter.",NA,NA,NA,NA,NA,NA,NA,NA,84,21.8568586,-33.2277918,"12 Old Village Road, Constantia Village, Constantia, Cape Town Central, Western Cape, South Africa"
"50",400,"47 Gypsies","shopping","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,49,18.8688499,-34.15815,"47 Beach Road, Gordon's Bay, Western Cape, South Africa"
